Theta(deg)	Phi(deg)	HitFraction
-45	0	0
-45	180	0.001
-44.5	0	0
-44.5	180	0
-44	0	0
-44	180	0
-43.5	0	0
-43.5	180	0
-43	0	0.002
-43	180	0
-42.5	0	0.001
-42.5	180	0
-42	0	0.001
-42	180	0
-41.5	0	0.002
-41.5	180	0.003
-41	0	0
-41	180	0
-40.5	0	0
-40.5	180	0
-40	0	0
-40	180	0.002
-39.5	0	0
-39.5	180	0
-39	0	0.002
-39	180	0.001
-38.5	0	0
-38.5	180	0
-38	0	0
-38	180	0.002
-37.5	0	0
-37.5	180	0
-37	0	0
-37	180	0
-36.5	0	0
-36.5	180	0.001
-36	0	0
-36	180	0.001
-35.5	0	0.001
-35.5	180	0.002
-35	0	0.001
-35	180	0.001
-34.5	0	0.001
-34.5	180	0.002
-34	0	0.001
-34	180	0
-33.5	0	0
-33.5	180	0
-33	0	0
-33	180	0.001
-32.5	0	0.001
-32.5	180	0
-32	0	0.001
-32	180	0
-31.5	0	0
-31.5	180	0.001
-31	0	0.001
-31	180	0.001
-30.5	0	0
-30.5	180	0.001
-30	0	0.001
-30	180	0.002
-29.5	0	0
-29.5	180	0.001
-29	0	0
-29	180	0
-28.5	0	0.001
-28.5	180	0.001
-28	0	0.001
-28	180	0
-27.5	0	0
-27.5	180	0.003
-27	0	0
-27	180	0.002
-26.5	0	0
-26.5	180	0
-26	0	0
-26	180	0
-25.5	0	0
-25.5	180	0.005
-25	0	0
-25	180	0.002
-24.5	0	0
-24.5	180	0.001
-24	0	0
-24	180	0.003
-23.5	0	0.001
-23.5	180	0.001
-23	0	0
-23	180	0.004
-22.5	0	0
-22.5	180	0
-22	0	0
-22	180	0
-21.5	0	0
-21.5	180	0.001
-21	0	0
-21	180	0.002
-20.5	0	0
-20.5	180	0.003
-20	0	0
-20	180	0
-19.5	0	0.001
-19.5	180	0.001
-19	0	0.001
-19	180	0.004
-18.5	0	0.003
-18.5	180	0.002
-18	0	0
-18	180	0.002
-17.5	0	0.001
-17.5	180	0.001
-17	0	0.003
-17	180	0.002
-16.5	0	0
-16.5	180	0.005
-16	0	0.001
-16	180	0.003
-15.5	0	0.004
-15.5	180	0.001
-15	0	0.001
-15	180	0.001
-14.5	0	0.001
-14.5	180	0
-14	0	0
-14	180	0.002
-13.5	0	0.003
-13.5	180	0.005
-13	0	0.001
-13	180	0.003
-12.5	0	0.006
-12.5	180	0.001
-12	0	0.001
-12	180	0.001
-11.5	0	0.003
-11.5	180	0
-11	0	0
-11	180	0
-10.5	0	0.001
-10.5	180	0.002
-10	0	0.001
-10	180	0.002
-9.5	0	0.003
-9.5	180	0.007
-9	0	0.002
-9	180	0.004
-8.5	0	0.003
-8.5	180	0.003
-8	0	0.002
-8	180	0.003
-7.5	0	0.003
-7.5	180	0.004
-7	0	0.005
-7	180	0.005
-6.5	0	0.002
-6.5	180	0.003
-6	0	0.001
-6	180	0.001
-5.5	0	0.002
-5.5	180	0.002
-5	0	0.002
-5	180	0.003
-4.5	0	0.003
-4.5	180	0
-4	0	0.005
-4	180	0.006
-3.5	0	0.002
-3.5	180	0.001
-3	0	0.002
-3	180	0.004
-2.5	0	0.003
-2.5	180	0.003
-2	0	0.005
-2	180	0.003
-1.5	0	0.001
-1.5	180	0.002
-1	0	0.004
-1	180	0
-0.5	0	0.003
-0.5	180	0.001
0	0	0.002
0	180	0.003
0.5	0	0.006
0.5	180	0.002
1	0	0.001
1	180	0.003
1.5	0	0.007
1.5	180	0.002
2	0	0.002
2	180	0.002
2.5	0	0.001
2.5	180	0.001
3	0	0
3	180	0.003
3.5	0	0.003
3.5	180	0.004
4	0	0.005
4	180	0.001
4.5	0	0.006
4.5	180	0.002
5	0	0.005
5	180	0.002
5.5	0	0.001
5.5	180	0
6	0	0.004
6	180	0.002
6.5	0	0.003
6.5	180	0.001
7	0	0.003
7	180	0.003
7.5	0	0
7.5	180	0.001
8	0	0.002
8	180	0.002
8.5	0	0.001
8.5	180	0.001
9	0	0.002
9	180	0.002
9.5	0	0.001
9.5	180	0.001
10	0	0.001
10	180	0.002
10.5	0	0.004
10.5	180	0.003
11	0	0.004
11	180	0.004
11.5	0	0.002
11.5	180	0
12	0	0
12	180	0
12.5	0	0.004
12.5	180	0.004
13	0	0.001
13	180	0
13.5	0	0.001
13.5	180	0.002
14	0	0.004
14	180	0.001
14.5	0	0.002
14.5	180	0
15	0	0.003
15	180	0
15.5	0	0.004
15.5	180	0
16	0	0.002
16	180	0.001
16.5	0	0.001
16.5	180	0.001
17	0	0.004
17	180	0
17.5	0	0.001
17.5	180	0
18	0	0.003
18	180	0
18.5	0	0.002
18.5	180	0
19	0	0.001
19	180	0
19.5	0	0.001
19.5	180	0.001
20	0	0.003
20	180	0
20.5	0	0
20.5	180	0.001
21	0	0
21	180	0
21.5	0	0
21.5	180	0
22	0	0
22	180	0
22.5	0	0.004
22.5	180	0.001
23	0	0
23	180	0
23.5	0	0.002
23.5	180	0
24	0	0.005
24	180	0.001
24.5	0	0.003
24.5	180	0
25	0	0.005
25	180	0
25.5	0	0.002
25.5	180	0
26	0	0.001
26	180	0
26.5	0	0
26.5	180	0
27	0	0.002
27	180	0.001
27.5	0	0.002
27.5	180	0.002
28	0	0.002
28	180	0
28.5	0	0.001
28.5	180	0
29	0	0
29	180	0
29.5	0	0.001
29.5	180	0
30	0	0.001
30	180	0
30.5	0	0.001
30.5	180	0
31	0	0.001
31	180	0.001
31.5	0	0
31.5	180	0.001
32	0	0
32	180	0.002
32.5	0	0
32.5	180	0.001
33	0	0.001
33	180	0.001
33.5	0	0
33.5	180	0
34	0	0.002
34	180	0
34.5	0	0.001
34.5	180	0
35	0	0
35	180	0
35.5	0	0
35.5	180	0
36	0	0
36	180	0.001
36.5	0	0.001
36.5	180	0.001
37	0	0
37	180	0
37.5	0	0.001
37.5	180	0
38	0	0.002
38	180	0
38.5	0	0
38.5	180	0.003
39	0	0
39	180	0.001
39.5	0	0
39.5	180	0
40	0	0.001
40	180	0
40.5	0	0.001
40.5	180	0
41	0	0.001
41	180	0
41.5	0	0.001
41.5	180	0
42	0	0.001
42	180	0.001
42.5	0	0
42.5	180	0
43	0	0
43	180	0
43.5	0	0
43.5	180	0
44	0	0
44	180	0
44.5	0	0
44.5	180	0.001
45	0	0
45	180	0.001
