# dx dy dz
-0.487213 0.40658 -0.772863
0.19697 0.445206 -0.873496
-0.013301 0.994504 -0.103848
-0.102776 0.870676 -0.481
-0.487649 0.386023 -0.783061
-0.0880297 -0.828266 -0.553377
0.0773626 0.676878 -0.732018
0.161359 -0.618204 -0.769277
-0.412839 0.0533867 -0.909238
0.00151088 0.168337 -0.985728
-0.451932 -0.664038 -0.59566
-0.343714 -0.321659 -0.882267
-0.102003 0.500481 -0.859718
0.992757 -0.00447101 -0.12006
-0.251128 0.750676 -0.611081
0.089112 -0.579054 -0.810404
0.737199 0.000402174 -0.675676
0.211836 -0.93568 -0.282184
-0.59289 -0.401167 -0.698245
-0.00101541 0.962087 -0.27274
-0.407421 -0.570609 -0.713031
0.82891 0.145691 -0.540077
-0.501904 0.544846 -0.67174
-0.84144 -0.376375 -0.387713
0.519247 -0.36745 -0.771598
0.501856 0.7634 -0.406646
0.0720607 -0.377636 -0.923146
0.204414 0.102232 -0.973531
0.510336 0.020552 -0.859729
0.291942 -0.101405 -0.951045
-0.491277 0.741059 -0.457687
-0.00627697 0.538883 -0.842357
0.7303 0.489508 -0.476492
0.331294 0.886904 -0.32194
0.690385 -0.0563343 -0.721245
0.853103 -0.12006 -0.507742
0.545823 -0.318787 -0.774888
-0.117039 0.32365 -0.93891
0.485767 -0.743739 -0.45922
0.298965 -0.487644 -0.820258
0.078821 -0.958705 -0.273262
-0.570753 -0.295584 -0.766075
-0.204157 -0.730385 -0.651811
0.358125 0.105506 -0.927694
0.264521 0.618048 -0.740301
0.271617 0.465981 -0.842073
-0.533139 -0.421581 -0.733506
-0.523344 0.240871 -0.817369
-0.270286 0.15411 -0.950366
0.482425 0.601488 -0.636771
0.870206 0.159602 -0.46612
0.027361 -0.416883 -0.908548
0.321982 0.220954 -0.920601
0.43813 -0.596553 -0.672433
-0.77764 -0.357978 -0.516844
0.346619 -0.410688 -0.843321
0.733072 0.620007 -0.279637
-0.158328 0.343583 -0.92568
0.0952601 -0.971889 -0.215308
0.391133 0.282344 -0.875955
0.585967 0.0249134 -0.809952
0.720696 -0.285691 -0.631647
-0.678732 -0.637215 -0.365075
-0.308111 -0.880341 -0.360649
-0.493603 -0.650401 -0.577352
0.110275 0.673667 -0.730762
0.504592 -0.588341 -0.631856
-0.727101 -0.490087 -0.480769
-0.594876 0.0475926 -0.802407
0.793296 -0.405823 -0.453861
-0.797542 -0.56255 -0.217861
0.730627 -0.424898 -0.534458
0.114794 0.555252 -0.823722
-0.321716 -0.373206 -0.870182
-0.761108 -0.163688 -0.627631
0.272191 -0.778322 -0.565798
0.123202 -0.214885 -0.968837
0.383594 -0.268972 -0.883465
-0.394421 0.161661 -0.904598
0.242751 -0.518593 -0.819837
0.0866493 0.147218 -0.985301
0.621843 -0.257682 -0.739534
-0.519913 -0.689121 -0.504779
0.168112 0.370559 -0.913468
-0.922316 -0.0303741 -0.385242
0.510276 0.531116 -0.676413
0.148489 0.426862 -0.892042
0.0378894 0.321772 -0.946059
-0.525508 0.615599 -0.587264
0.517315 0.562024 -0.64538
-0.0403312 0.0302461 -0.998728
0.385017 -0.096172 -0.917885
-0.747617 -0.0978497 -0.656882
-0.621024 -0.0104982 -0.783722
0.868877 0.0171873 -0.49473
0.0463185 0.824098 -0.56455
0.865387 0.157773 -0.475618
0.693574 -0.505199 -0.513545
0.5198 0.712816 -0.470852
0.208426 0.698615 -0.684467
0.0527835 0.599926 -0.798312
0.1786 -0.838193 -0.5153
0.438773 0.53054 -0.725262
-0.730066 -0.324896 -0.601204
0.53719 0.814788 -0.218052
-0.0867286 0.461486 -0.882898
-0.41862 0.641639 -0.642696
0.248629 0.198422 -0.948057
-0.223676 -0.24648 -0.942983
-0.732338 -0.180127 -0.656685
0.801357 0.352618 -0.483205
-0.450999 0.492612 -0.744267
-0.407438 -0.338146 -0.848323
-0.547159 -0.109979 -0.829772
-0.0528094 0.339707 -0.939048
-0.481855 -0.382897 -0.788166
-0.0657448 0.900787 -0.429255
-0.749478 0.408825 -0.520716
0.837781 -0.260205 -0.480017
-0.71332 0.316617 -0.625242
0.14742 -0.689085 -0.709527
-0.639697 -0.470644 -0.607687
-0.121981 0.613124 -0.780512
0.133791 0.351871 -0.926438
0.493391 0.584823 -0.643854
0.487617 -0.241537 -0.838981
-0.508529 0.0731132 -0.857935
0.628969 0.451673 -0.632763
0.273789 -0.776072 -0.568113
0.767239 0.0960026 -0.634136
0.382536 0.389691 -0.837739
0.700852 -0.160568 -0.694999
0.497367 -0.425072 -0.756267
-0.0738191 -0.401782 -0.912755
0.703162 0.133049 -0.698471
0.888847 -0.186734 -0.418428
-0.375014 0.188942 -0.90756
0.367954 0.308981 -0.877007
-0.266107 0.214209 -0.939841
0.538308 -0.271663 -0.797761
0.469098 0.286558 -0.835363
0.217952 -0.0566718 -0.974313
0.238982 0.470183 -0.849597
0.892727 -0.247614 -0.376465
0.681357 -0.518484 -0.51665
-0.160746 -0.797964 -0.580874
0.229996 -0.724307 -0.649986
0.0604186 0.489723 -0.869782
0.052646 0.252957 -0.966044
-0.58755 -0.108591 -0.801868
-0.964094 -0.086201 -0.251181
-0.866795 0.0307052 -0.497718
-0.552468 0.218934 -0.804268
-0.0789384 0.872368 -0.482434
0.36347 -0.412827 -0.835143
0.078439 0.14483 -0.986343
0.610685 -0.289104 -0.737213
0.0103703 -0.0268706 -0.999585
-0.721302 -0.646535 -0.248425
-0.289977 0.604272 -0.742138
-0.504348 -0.142409 -0.851677
-0.482061 -0.218136 -0.848548
0.748987 -0.205769 -0.629823
-0.591306 0.381379 -0.710568
-0.450463 -0.439387 -0.777189
-0.4285 0.721017 -0.544539
-0.0675824 0.196066 -0.978259
0.30824 -0.939359 -0.150309
0.560847 0.486127 -0.670173
-0.290192 -0.150429 -0.945071
0.868799 -0.19869 -0.453554
0.54078 -0.501389 -0.675401
-0.30226 0.249425 -0.920014
-0.794932 -0.0235019 -0.606243
-0.105844 -0.296974 -0.949001
-0.374552 0.854167 -0.360707
0.554984 -0.168298 -0.814659
0.493441 -0.516095 -0.700116
0.623439 0.0424755 -0.780717
-0.354483 -0.855803 -0.376753
-0.543602 -0.0970638 -0.833712
0.346856 0.440654 -0.827958
-0.132336 0.118918 -0.984046
-0.140293 -0.798121 -0.585936
-0.690657 0.722323 -0.0352372
-0.479705 0.814909 -0.325279
0.310732 -0.580642 -0.75253
0.326774 -0.262076 -0.908039
-0.0243828 0.50091 -0.865156
-0.637351 0.0920476 -0.765056
-0.4275 -0.28661 -0.857379
0.0715125 0.631985 -0.771674
0.128463 0.7433 -0.656508
-0.100412 -0.337236 -0.93605
-0.580457 0.195201 -0.790548
-0.167866 -0.538773 -0.825557
0.288834 -0.0955094 -0.952603
0.109278 0.379544 -0.918697
0.0425426 -0.428405 -0.902585
0.0807284 0.652687 -0.753314
0.684033 0.674959 -0.276639
0.364471 -0.632489 -0.683461
0.736249 0.16047 -0.657409
0.300368 -0.858306 -0.41604
-0.114636 0.777958 -0.61777
-0.555424 -0.789622 -0.260771
-0.0929638 -0.548148 -0.831199
-0.776992 -0.341536 -0.528807
0.314699 0.347785 -0.883182
-0.83043 -0.00344959 -0.557113
0.816142 0.412633 -0.404531
0.747178 -0.0846832 -0.659206
-0.320519 0.886446 -0.333888
-0.69184 -0.486932 -0.533156
0.838901 0.267965 -0.473751
-0.438023 -0.251565 -0.863047
0.306118 0.515601 -0.80028
0.349249 0.860965 -0.369817
0.382648 0.742438 -0.549879
0.605028 0.412364 -0.6811
-0.457725 0.713549 -0.530411
-0.32564 0.342735 -0.881187
0.481968 -0.0914115 -0.871408
0.404457 -0.334468 -0.851203
-0.345967 0.50301 -0.792015
0.742428 -0.284745 -0.6064
-0.242442 -0.846523 -0.473942
-0.248851 -0.667482 -0.701812
-0.874674 0.449354 -0.181729
-0.0537646 0.711668 -0.700456
-0.353939 -0.852829 -0.383939
-0.237701 0.46953 -0.850317
0.0947421 -0.800657 -0.591584
-0.541863 -0.288123 -0.789537
-0.952134 0.231357 -0.199786
0.6845 -0.157014 -0.711903
0.952272 -0.013053 -0.304972
0.240548 -0.449781 -0.860136
-0.597348 0.113125 -0.793963
-0.719983 -0.20764 -0.662201
-0.350028 -0.468311 -0.811274
-0.00441092 -0.207527 -0.978219
-0.600679 -0.72714 -0.332344
0.625587 -0.148386 -0.765913
-0.0744477 -0.0925234 -0.992923
0.700457 0.172179 -0.692614
-0.801998 -0.264279 -0.535682
-0.597758 0.0138795 -0.801557
0.763143 0.514116 -0.391532
-0.136487 0.61103 -0.779752
-0.251934 -0.420788 -0.871474
0.159342 -0.310178 -0.93723
0.58888 -0.543983 -0.597749
0.013539 -0.771038 -0.636646
-0.33189 -0.429754 -0.839739
0.0510961 -0.954232 -0.29467
-0.826061 0.0556439 -0.560828
-0.02157 0.738826 -0.673551
0.129092 -0.396717 -0.908818
0.823038 0.107675 -0.557687
-0.225625 0.489501 -0.842308
0.31808 0.30713 -0.896937
-0.867097 0.392174 -0.307151
-0.104004 -0.196795 -0.974913
-0.868911 -0.0116344 -0.494832
0.46996 -0.405479 -0.784044
-0.388906 0.478553 -0.787235
-0.550513 0.451252 -0.702358
0.21738 0.27685 -0.936002
0.377913 0.421626 -0.824265
0.308515 0.575268 -0.757552
-0.347997 0.521267 -0.779217
0.388183 -0.868138 -0.309272
0.226886 0.949832 -0.21527
-0.512287 0.655745 -0.554581
0.274242 -0.806766 -0.523374
-0.559324 -0.269424 -0.783944
0.543505 -0.370824 -0.753055
-0.509567 -0.609787 -0.607043
0.465474 0.516898 -0.718436
-0.760469 0.437559 -0.479822
0.676279 -0.0868271 -0.731511
0.0707043 -0.883599 -0.462876
-0.072732 -0.0148023 -0.997242
0.8328 -0.545498 -0.0942151
0.470617 0.864861 -0.174742
-0.583867 0.180864 -0.791446
-0.472074 0.340325 -0.813219
-0.358488 0.745445 -0.561959
-0.762818 -0.591646 -0.260891
0.0356146 -0.553738 -0.831929
0.0301009 0.827888 -0.560085
0.837909 0.295715 -0.458761
-0.499425 -0.0603734 -0.864251
-0.338949 0.806737 -0.484034
-0.457537 -0.0497912 -0.887795
-0.394147 -0.367759 -0.84226
-0.196033 0.386902 -0.901043
