# Flux Map Data (Trace-Once Method) - Generated: 2025-04-03 12:41:03
# Number of rays: 100000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 160 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
# Method: Trace-Once (single trace, multiple detector positions)
theta,phi,fraction
0.250000,2.000000,0.014670
0.250000,6.000000,0.014680
0.250000,10.000000,0.014670
0.250000,14.000000,0.014720
0.250000,18.000000,0.014720
0.250000,22.000000,0.014720
0.250000,26.000000,0.014750
0.250000,30.000000,0.014770
0.250000,34.000000,0.014800
0.250000,38.000000,0.014800
0.250000,42.000000,0.014810
0.250000,46.000000,0.014850
0.250000,50.000000,0.014820
0.250000,54.000000,0.014850
0.250000,58.000000,0.014850
0.250000,62.000000,0.014850
0.250000,66.000000,0.014850
0.250000,70.000000,0.014850
0.250000,74.000000,0.014820
0.250000,78.000000,0.014820
0.250000,82.000000,0.014830
0.250000,86.000000,0.014830
0.250000,90.000000,0.014810
0.250000,94.000000,0.014840
0.250000,98.000000,0.014820
0.250000,102.000000,0.014810
0.250000,106.000000,0.014790
0.250000,110.000000,0.014800
0.250000,114.000000,0.014790
0.250000,118.000000,0.014780
0.250000,122.000000,0.014780
0.250000,126.000000,0.014760
0.250000,130.000000,0.014770
0.250000,134.000000,0.014770
0.250000,138.000000,0.014730
0.250000,142.000000,0.014730
0.250000,146.000000,0.014720
0.250000,150.000000,0.014710
0.250000,154.000000,0.014690
0.250000,158.000000,0.014700
0.250000,162.000000,0.014720
0.250000,166.000000,0.014710
0.250000,170.000000,0.014690
0.250000,174.000000,0.014670
0.250000,178.000000,0.014660
0.250000,182.000000,0.014680
0.250000,186.000000,0.014660
0.250000,190.000000,0.014680
0.250000,194.000000,0.014680
0.250000,198.000000,0.014670
0.250000,202.000000,0.014660
0.250000,206.000000,0.014690
0.250000,210.000000,0.014680
0.250000,214.000000,0.014690
