# Detector Data - Generated: 2025-03-25 10:14:56
# Number of rays: 50000
# Detector dimensions: 20cm x 20cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 170 degrees
# Theta bins: 45
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.75
# Lambertian scattering: enabled
theta,phi,fraction
15.000000,42.000000,0.000860
15.000000,46.000000,0.000940
15.000000,50.000000,0.000820
15.000000,54.000000,0.000880
15.000000,58.000000,0.000900
15.000000,62.000000,0.000860
15.000000,66.000000,0.000780
15.000000,70.000000,0.000920
15.000000,74.000000,0.001100
15.000000,78.000000,0.001000
15.000000,82.000000,0.001220
15.000000,86.000000,0.000880
15.000000,90.000000,0.000860
15.000000,94.000000,0.000860
15.000000,98.000000,0.000920
15.000000,102.000000,0.001000
15.000000,106.000000,0.001140
15.000000,110.000000,0.001100
15.000000,114.000000,0.001060
15.000000,118.000000,0.000760
15.000000,122.000000,0.001000
15.000000,126.000000,0.001140
15.000000,130.000000,0.001120
15.000000,134.000000,0.001080
15.000000,138.000000,0.000860
15.000000,142.000000,0.000800
15.000000,146.000000,0.000740
15.000000,150.000000,0.001060
15.000000,154.000000,0.001000
15.000000,158.000000,0.000980
15.000000,162.000000,0.000700
15.000000,166.000000,0.001120
15.000000,170.000000,0.001260
15.000000,174.000000,0.000680
15.000000,178.000000,0.001040
15.000000,182.000000,0.001120
15.000000,186.000000,0.000660
15.000000,190.000000,0.001060
15.000000,194.000000,0.001180
15.000000,198.000000,0.000860
15.000000,202.000000,0.001060
15.000000,206.000000,0.001080
15.000000,210.000000,0.000800
15.000000,214.000000,0.001040
15.000000,218.000000,0.001240
15.000000,222.000000,0.000540
15.000000,226.000000,0.001140
15.000000,230.000000,0.001040
15.000000,234.000000,0.001020
15.000000,238.000000,0.000980
15.000000,242.000000,0.001060
15.000000,246.000000,0.000780
15.000000,250.000000,0.000620
15.000000,254.000000,0.000980
15.000000,258.000000,0.001220
15.000000,262.000000,0.001060
15.000000,266.000000,0.000860
15.000000,270.000000,0.000920
15.000000,274.000000,0.000800
15.000000,278.000000,0.000800
15.000000,282.000000,0.001080
15.000000,286.000000,0.000660
15.000000,290.000000,0.001120
15.000000,294.000000,0.000980
15.000000,298.000000,0.001080
15.000000,302.000000,0.001200
15.000000,306.000000,0.000700
15.000000,310.000000,0.001020
15.000000,314.000000,0.000840
15.000000,318.000000,0.001020
15.000000,322.000000,0.000820
15.000000,326.000000,0.000900
15.000000,330.000000,0.000820
15.000000,334.000000,0.000980
15.000000,338.000000,0.001040
15.000000,342.000000,0.000920
15.000000,346.000000,0.000640
15.000000,350.000000,0.000860
15.000000,354.000000,0.000820
15.000000,358.000000,0.001020
17.000000,2.000000,0.000900
17.000000,6.000000,0.001120
17.000000,10.000000,0.000900
17.000000,14.000000,0.001180
17.000000,18.000000,0.001080
17.000000,22.000000,0.000980
17.000000,26.000000,0.000720
17.000000,30.000000,0.001120
17.000000,34.000000,0.001040
17.000000,38.000000,0.001040
17.000000,42.000000,0.000960
17.000000,46.000000,0.000800
17.000000,50.000000,0.000880
17.000000,54.000000,0.001060
17.000000,58.000000,0.000880
17.000000,62.000000,0.000900
17.000000,66.000000,0.001060
17.000000,70.000000,0.000980
17.000000,74.000000,0.001040
17.000000,78.000000,0.000840
17.000000,82.000000,0.000980
17.000000,86.000000,0.000740
17.000000,90.000000,0.000880
17.000000,94.000000,0.000980
17.000000,98.000000,0.001080
17.000000,102.000000,0.000900
17.000000,106.000000,0.000840
17.000000,110.000000,0.001020
17.000000,114.000000,0.001020
17.000000,118.000000,0.000760
17.000000,122.000000,0.001000
17.000000,126.000000,0.000900
17.000000,130.000000,0.000820
17.000000,134.000000,0.001180
17.000000,138.000000,0.001120
17.000000,142.000000,0.001180
17.000000,146.000000,0.000660
17.000000,150.000000,0.000880
17.000000,154.000000,0.001080
17.000000,158.000000,0.000700
17.000000,162.000000,0.001100
17.000000,166.000000,0.001180
17.000000,170.000000,0.000860
17.000000,174.000000,0.000820
17.000000,178.000000,0.001160
17.000000,182.000000,0.000980
17.000000,186.000000,0.000920
17.000000,190.000000,0.000860
17.000000,194.000000,0.000860
17.000000,198.000000,0.001080
17.000000,202.000000,0.001000
17.000000,206.000000,0.000940
17.000000,210.000000,0.000960
17.000000,214.000000,0.000880
17.000000,218.000000,0.000880
17.000000,222.000000,0.000880
17.000000,226.000000,0.000920
17.000000,230.000000,0.000680
17.000000,234.000000,0.000740
17.000000,238.000000,0.000900
17.000000,242.000000,0.000900
17.000000,246.000000,0.000840
17.000000,250.000000,0.000900
17.000000,254.000000,0.000900
17.000000,258.000000,0.000960
17.000000,262.000000,0.000860
17.000000,266.000000,0.000920
17.000000,270.000000,0.000920
17.000000,274.000000,0.000920
17.000000,278.000000,0.000680
17.000000,282.000000,0.000800
17.000000,286.000000,0.001060
17.000000,290.000000,0.001020
17.000000,294.000000,0.000840
17.000000,298.000000,0.001240
17.000000,302.000000,0.000800
17.000000,306.000000,0.001140
17.000000,310.000000,0.000980
17.000000,314.000000,0.000860
17.000000,318.000000,0.000940
17.000000,322.000000,0.000960
17.000000,326.000000,0.000760
17.000000,330.000000,0.000980
17.000000,334.000000,0.000880
17.000000,338.000000,0.000820
17.000000,342.000000,0.001020
17.000000,346.000000,0.000860
17.000000,350.000000,0.000880
17.000000,354.000000,0.001140
17.000000,358.000000,0.000840
19.000000,2.000000,0.000920
19.000000,6.000000,0.000840
19.000000,10.000000,0.000920
19.000000,14.000000,0.000760
19.000000,18.000000,0.001020
19.000000,22.000000,0.001020
19.000000,26.000000,0.001160
19.000000,30.000000,0.001060
19.000000,34.000000,0.001040
19.000000,38.000000,0.001000
19.000000,42.000000,0.000960
19.000000,46.000000,0.000540
19.000000,50.000000,0.000700
19.000000,54.000000,0.000760
19.000000,58.000000,0.000880
19.000000,62.000000,0.000940
19.000000,66.000000,0.001040
19.000000,70.000000,0.000940
19.000000,74.000000,0.000680
19.000000,78.000000,0.000720
19.000000,82.000000,0.000760
19.000000,86.000000,0.000860
19.000000,90.000000,0.001260
19.000000,94.000000,0.000980
19.000000,98.000000,0.001060
19.000000,102.000000,0.000880
19.000000,106.000000,0.001060
19.000000,110.000000,0.000720
19.000000,114.000000,0.001200
19.000000,118.000000,0.000820
19.000000,122.000000,0.000860
19.000000,126.000000,0.000880
19.000000,130.000000,0.000780
19.000000,134.000000,0.000740
19.000000,138.000000,0.000980
19.000000,142.000000,0.001080
19.000000,146.000000,0.000960
19.000000,150.000000,0.000840
19.000000,154.000000,0.000780
19.000000,158.000000,0.000660
19.000000,162.000000,0.000860
19.000000,166.000000,0.001180
19.000000,170.000000,0.000700
19.000000,174.000000,0.001020
19.000000,178.000000,0.000940
19.000000,182.000000,0.000900
19.000000,186.000000,0.001000
19.000000,190.000000,0.000960
19.000000,194.000000,0.000760
19.000000,198.000000,0.000780
19.000000,202.000000,0.000840
19.000000,206.000000,0.000860
19.000000,210.000000,0.000840
19.000000,214.000000,0.000860
19.000000,218.000000,0.000860
19.000000,222.000000,0.001000
19.000000,226.000000,0.000680
19.000000,230.000000,0.000900
19.000000,234.000000,0.000780
19.000000,238.000000,0.001040
19.000000,242.000000,0.001060
19.000000,246.000000,0.000880
19.000000,250.000000,0.000720
19.000000,254.000000,0.000700
