# Detector Data - Generated: 2025-03-24 13:16:26
# Number of rays: 50000
# Detector dimensions: 20cm x 20cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 170 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.75
# Lambertian scattering: enabled
theta,phi,fraction
0.250000,2.000000,0.001400
0.250000,6.000000,0.000980
0.250000,10.000000,0.001240
0.250000,14.000000,0.001120
0.250000,18.000000,0.000960
0.250000,22.000000,0.001180
0.250000,26.000000,0.000960
0.250000,30.000000,0.000960
0.250000,34.000000,0.001100
0.250000,38.000000,0.000880
0.250000,42.000000,0.001120
0.250000,46.000000,0.000960
0.250000,50.000000,0.001020
0.250000,74.000000,0.000940
0.250000,58.000000,0.001060
0.250000,62.000000,0.001020
0.250000,66.000000,0.000840
0.250000,70.000000,0.001100
0.250000,54.000000,0.000820
0.250000,78.000000,0.001280
0.250000,82.000000,0.001280
0.250000,86.000000,0.001140
0.250000,90.000000,0.001180
0.250000,114.000000,0.001100
0.250000,98.000000,0.001060
0.250000,102.000000,0.001260
0.250000,106.000000,0.001120
0.250000,110.000000,0.000920
0.250000,94.000000,0.001220
0.250000,118.000000,0.000980
0.250000,122.000000,0.001020
0.250000,126.000000,0.000880
0.250000,130.000000,0.000900
0.250000,134.000000,0.000900
0.250000,138.000000,0.001160
