# Flux Map Data (Trace-Once Method) - Generated: 2025-04-03 13:40:54
# Number of rays: 100000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 164 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
# Method: Trace-Once (single trace, multiple detector positions)
theta,phi,fraction
0.250000,2.000000,0.013310
0.250000,6.000000,0.013320
0.250000,10.000000,0.013320
0.250000,14.000000,0.013310
0.250000,18.000000,0.013300
0.250000,22.000000,0.013300
0.250000,26.000000,0.013300
0.250000,30.000000,0.013310
0.250000,34.000000,0.013310
0.250000,38.000000,0.013300
0.250000,42.000000,0.013310
0.250000,46.000000,0.013310
0.250000,50.000000,0.013300
0.250000,54.000000,0.013310
0.250000,58.000000,0.013300
0.250000,62.000000,0.013290
0.250000,66.000000,0.013290
0.250000,70.000000,0.013290
0.250000,74.000000,0.013300
0.250000,78.000000,0.013280
0.250000,82.000000,0.013290
0.250000,86.000000,0.013290
0.250000,90.000000,0.013280
0.250000,94.000000,0.013290
0.250000,98.000000,0.013290
0.250000,102.000000,0.013310
0.250000,106.000000,0.013310
0.250000,110.000000,0.013340
0.250000,114.000000,0.013320
0.250000,118.000000,0.013300
0.250000,122.000000,0.013270
0.250000,126.000000,0.013260
0.250000,130.000000,0.013230
0.250000,134.000000,0.013230
0.250000,138.000000,0.013230
0.250000,142.000000,0.013240
0.250000,146.000000,0.013250
0.250000,150.000000,0.013260
0.250000,154.000000,0.013270
0.250000,158.000000,0.013250
0.250000,162.000000,0.013260
0.250000,166.000000,0.013250
0.250000,170.000000,0.013250
0.250000,174.000000,0.013270
0.250000,178.000000,0.013260
0.250000,182.000000,0.013250
0.250000,186.000000,0.013270
0.250000,190.000000,0.013290
0.250000,194.000000,0.013280
0.250000,198.000000,0.013290
0.250000,202.000000,0.013280
0.250000,206.000000,0.013300
0.250000,210.000000,0.013270
0.250000,214.000000,0.013270
0.250000,218.000000,0.013310
0.250000,222.000000,0.013300
0.250000,226.000000,0.013310
0.250000,230.000000,0.013330
0.250000,234.000000,0.013310
0.250000,238.000000,0.013310
0.250000,242.000000,0.013310
0.250000,246.000000,0.013300
0.250000,250.000000,0.013290
0.250000,254.000000,0.013310
0.250000,258.000000,0.013320
0.250000,262.000000,0.013320
0.250000,266.000000,0.013320
0.250000,270.000000,0.013330
0.250000,274.000000,0.013330
0.250000,278.000000,0.013320
0.250000,282.000000,0.013330
0.250000,286.000000,0.013320
0.250000,290.000000,0.013310
0.250000,294.000000,0.013280
0.250000,298.000000,0.013280
0.250000,302.000000,0.013280
0.250000,306.000000,0.013280
0.250000,310.000000,0.013270
0.250000,314.000000,0.013270
0.250000,318.000000,0.013270
0.250000,322.000000,0.013290
0.250000,326.000000,0.013300
0.250000,330.000000,0.013270
0.250000,334.000000,0.013270
0.250000,338.000000,0.013300
0.250000,342.000000,0.013290
0.250000,346.000000,0.013290
0.250000,350.000000,0.013290
0.250000,354.000000,0.013300
0.250000,358.000000,0.013320
0.750000,2.000000,0.013220
0.750000,6.000000,0.013160
0.750000,10.000000,0.013140
0.750000,14.000000,0.013180
0.750000,18.000000,0.013140
0.750000,22.000000,0.013170
0.750000,26.000000,0.013180
0.750000,30.000000,0.013150
0.750000,34.000000,0.013170
0.750000,38.000000,0.013200
0.750000,42.000000,0.013230
0.750000,46.000000,0.013270
0.750000,50.000000,0.013230
0.750000,54.000000,0.013220
0.750000,58.000000,0.013210
0.750000,62.000000,0.013240
0.750000,66.000000,0.013280
0.750000,70.000000,0.013250
0.750000,74.000000,0.013210
0.750000,78.000000,0.013200
0.750000,82.000000,0.013200
0.750000,86.000000,0.013180
0.750000,90.000000,0.013180
0.750000,94.000000,0.013160
0.750000,98.000000,0.013140
0.750000,102.000000,0.013210
0.750000,106.000000,0.013190
0.750000,110.000000,0.013220
0.750000,114.000000,0.013220
0.750000,118.000000,0.013320
0.750000,122.000000,0.013360
0.750000,126.000000,0.013320
0.750000,130.000000,0.013340
0.750000,134.000000,0.013350
0.750000,138.000000,0.013340
0.750000,142.000000,0.013330
0.750000,146.000000,0.013290
0.750000,150.000000,0.013290
0.750000,154.000000,0.013290
0.750000,158.000000,0.013270
0.750000,162.000000,0.013300
0.750000,166.000000,0.013270
0.750000,170.000000,0.013260
0.750000,174.000000,0.013270
0.750000,178.000000,0.013200
0.750000,182.000000,0.013260
0.750000,186.000000,0.013280
0.750000,190.000000,0.013280
0.750000,194.000000,0.013250
0.750000,198.000000,0.013250
0.750000,202.000000,0.013270
0.750000,206.000000,0.013270
0.750000,210.000000,0.013260
0.750000,214.000000,0.013250
0.750000,218.000000,0.013260
0.750000,222.000000,0.013280
0.750000,226.000000,0.013280
0.750000,230.000000,0.013280
0.750000,234.000000,0.013260
0.750000,238.000000,0.013270
0.750000,242.000000,0.013280
0.750000,246.000000,0.013290
0.750000,250.000000,0.013300
0.750000,254.000000,0.013280
0.750000,258.000000,0.013250
0.750000,262.000000,0.013190
0.750000,266.000000,0.013230
0.750000,270.000000,0.013260
0.750000,274.000000,0.013240
0.750000,278.000000,0.013230
0.750000,282.000000,0.013230
0.750000,286.000000,0.013250
0.750000,290.000000,0.013200
0.750000,294.000000,0.013130
0.750000,298.000000,0.013120
0.750000,302.000000,0.013190
0.750000,306.000000,0.013180
0.750000,310.000000,0.013180
0.750000,314.000000,0.013190
0.750000,318.000000,0.013200
0.750000,322.000000,0.013210
0.750000,326.000000,0.013200
0.750000,330.000000,0.013200
0.750000,334.000000,0.013170
0.750000,338.000000,0.013150
0.750000,342.000000,0.013130
0.750000,346.000000,0.013150
0.750000,350.000000,0.013130
0.750000,354.000000,0.013180
0.750000,358.000000,0.013190
1.250000,2.000000,0.013140
1.250000,6.000000,0.013170
1.250000,10.000000,0.013140
1.250000,14.000000,0.013100
1.250000,18.000000,0.013130
1.250000,22.000000,0.013110
1.250000,26.000000,0.013100
1.250000,30.000000,0.013150
1.250000,34.000000,0.013110
1.250000,38.000000,0.013080
1.250000,42.000000,0.013080
1.250000,46.000000,0.013090
1.250000,50.000000,0.013070
1.250000,54.000000,0.013150
1.250000,58.000000,0.013120
1.250000,62.000000,0.013170
1.250000,66.000000,0.013210
1.250000,70.000000,0.013240
1.250000,74.000000,0.013190
1.250000,78.000000,0.013160
1.250000,82.000000,0.013080
1.250000,86.000000,0.013070
1.250000,90.000000,0.013060
1.250000,94.000000,0.013040
1.250000,98.000000,0.013050
1.250000,102.000000,0.013040
1.250000,106.000000,0.013020
1.250000,110.000000,0.013050
1.250000,114.000000,0.013060
1.250000,118.000000,0.013110
1.250000,122.000000,0.013180
1.250000,126.000000,0.013160
1.250000,130.000000,0.013170
1.250000,134.000000,0.013200
1.250000,138.000000,0.013170
1.250000,142.000000,0.013150
1.250000,146.000000,0.013220
1.250000,150.000000,0.013200
1.250000,154.000000,0.013240
1.250000,158.000000,0.013240
1.250000,162.000000,0.013210
1.250000,166.000000,0.013220
1.250000,170.000000,0.013190
1.250000,174.000000,0.013210
1.250000,178.000000,0.013260
1.250000,182.000000,0.013280
1.250000,186.000000,0.013280
1.250000,190.000000,0.013230
1.250000,194.000000,0.013270
1.250000,198.000000,0.013290
1.250000,202.000000,0.013270
1.250000,206.000000,0.013270
1.250000,210.000000,0.013240
1.250000,214.000000,0.013330
1.250000,218.000000,0.013350
1.250000,222.000000,0.013330
1.250000,226.000000,0.013380
1.250000,230.000000,0.013370
1.250000,234.000000,0.013370
1.250000,238.000000,0.013390
1.250000,242.000000,0.013350
1.250000,246.000000,0.013330
1.250000,250.000000,0.013310
1.250000,254.000000,0.013300
1.250000,258.000000,0.013310
1.250000,262.000000,0.013260
1.250000,266.000000,0.013290
1.250000,270.000000,0.013280
1.250000,274.000000,0.013270
1.250000,278.000000,0.013250
1.250000,282.000000,0.013240
1.250000,286.000000,0.013270
1.250000,290.000000,0.013250
1.250000,294.000000,0.013130
1.250000,298.000000,0.013170
1.250000,302.000000,0.013170
1.250000,306.000000,0.013090
1.250000,310.000000,0.013110
1.250000,314.000000,0.013050
1.250000,318.000000,0.013070
1.250000,322.000000,0.013020
1.250000,326.000000,0.013040
1.250000,330.000000,0.013040
1.250000,334.000000,0.013080
1.250000,338.000000,0.013120
1.250000,342.000000,0.013100
1.250000,346.000000,0.013100
1.250000,350.000000,0.013090
1.250000,354.000000,0.013110
1.250000,358.000000,0.013070
1.750000,2.000000,0.013130
1.750000,6.000000,0.013150
1.750000,10.000000,0.013160
1.750000,14.000000,0.013230
1.750000,18.000000,0.013210
1.750000,22.000000,0.013170
1.750000,26.000000,0.013160
1.750000,30.000000,0.013110
1.750000,34.000000,0.013090
1.750000,38.000000,0.013110
1.750000,42.000000,0.013030
1.750000,46.000000,0.013010
1.750000,50.000000,0.013080
1.750000,54.000000,0.013030
1.750000,58.000000,0.013070
1.750000,62.000000,0.013090
1.750000,66.000000,0.013040
1.750000,70.000000,0.013030
1.750000,74.000000,0.012980
1.750000,78.000000,0.012990
1.750000,82.000000,0.013050
1.750000,86.000000,0.013060
1.750000,90.000000,0.013020
1.750000,94.000000,0.013010
1.750000,98.000000,0.012990
1.750000,102.000000,0.012970
1.750000,106.000000,0.013020
1.750000,110.000000,0.013070
1.750000,114.000000,0.013060
1.750000,118.000000,0.013120
1.750000,122.000000,0.013150
1.750000,126.000000,0.013220
1.750000,130.000000,0.013180
1.750000,134.000000,0.013240
1.750000,138.000000,0.013120
1.750000,142.000000,0.013180
1.750000,146.000000,0.013240
1.750000,150.000000,0.013220
1.750000,154.000000,0.013220
1.750000,158.000000,0.013230
1.750000,162.000000,0.013150
1.750000,166.000000,0.013110
1.750000,170.000000,0.013150
1.750000,174.000000,0.013100
1.750000,178.000000,0.013110
1.750000,182.000000,0.013150
1.750000,186.000000,0.013180
1.750000,190.000000,0.013240
1.750000,194.000000,0.013210
1.750000,198.000000,0.013290
1.750000,202.000000,0.013310
1.750000,206.000000,0.013370
1.750000,210.000000,0.013340
1.750000,214.000000,0.013360
1.750000,218.000000,0.013350
1.750000,222.000000,0.013380
1.750000,226.000000,0.013330
1.750000,230.000000,0.013330
1.750000,234.000000,0.013230
1.750000,238.000000,0.013200
1.750000,242.000000,0.013150
1.750000,246.000000,0.013130
1.750000,250.000000,0.013170
1.750000,254.000000,0.013210
1.750000,258.000000,0.013220
1.750000,262.000000,0.013260
1.750000,266.000000,0.013240
1.750000,270.000000,0.013220
1.750000,274.000000,0.013190
1.750000,278.000000,0.013240
1.750000,282.000000,0.013230
1.750000,286.000000,0.013180
1.750000,290.000000,0.013170
1.750000,294.000000,0.013110
1.750000,298.000000,0.013070
1.750000,302.000000,0.012990
1.750000,306.000000,0.013020
1.750000,310.000000,0.013010
1.750000,314.000000,0.013030
1.750000,318.000000,0.013000
1.750000,322.000000,0.012970
1.750000,326.000000,0.012990
1.750000,330.000000,0.012950
1.750000,334.000000,0.012920
1.750000,338.000000,0.012900
1.750000,342.000000,0.013000
1.750000,346.000000,0.013030
1.750000,350.000000,0.013060
1.750000,354.000000,0.013080
1.750000,358.000000,0.013120
2.250000,2.000000,0.013080
2.250000,6.000000,0.013160
2.250000,10.000000,0.013160
2.250000,14.000000,0.013140
2.250000,18.000000,0.013150
2.250000,22.000000,0.013160
2.250000,26.000000,0.013120
2.250000,30.000000,0.013040
2.250000,34.000000,0.013050
2.250000,38.000000,0.013040
2.250000,42.000000,0.013080
2.250000,46.000000,0.013070
2.250000,50.000000,0.013010
2.250000,54.000000,0.013020
2.250000,58.000000,0.013010
2.250000,62.000000,0.012960
2.250000,66.000000,0.012970
2.250000,70.000000,0.012960
2.250000,74.000000,0.012910
2.250000,78.000000,0.012970
2.250000,82.000000,0.012970
2.250000,86.000000,0.012990
2.250000,90.000000,0.012980
2.250000,94.000000,0.012990
2.250000,98.000000,0.013010
2.250000,102.000000,0.013000
2.250000,106.000000,0.013010
2.250000,110.000000,0.013050
2.250000,114.000000,0.013010
2.250000,118.000000,0.013040
2.250000,122.000000,0.013050
2.250000,126.000000,0.013080
2.250000,130.000000,0.013140
2.250000,134.000000,0.013160
2.250000,138.000000,0.013210
2.250000,142.000000,0.013230
2.250000,146.000000,0.013200
2.250000,150.000000,0.013200
2.250000,154.000000,0.013110
2.250000,158.000000,0.013120
2.250000,162.000000,0.013150
2.250000,166.000000,0.013170
2.250000,170.000000,0.013180
2.250000,174.000000,0.013240
2.250000,178.000000,0.013210
2.250000,182.000000,0.013350
2.250000,186.000000,0.013350
2.250000,190.000000,0.013330
2.250000,194.000000,0.013370
2.250000,198.000000,0.013350
2.250000,202.000000,0.013330
2.250000,206.000000,0.013360
2.250000,210.000000,0.013430
2.250000,214.000000,0.013400
2.250000,218.000000,0.013370
2.250000,222.000000,0.013340
2.250000,226.000000,0.013330
2.250000,230.000000,0.013340
2.250000,234.000000,0.013190
