# Flux Map Data - Generated: 2025-04-02 01:53:26
# Number of rays per position: 50000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 166 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
theta,phi,fraction
0.250000,2.000000,0.021100
0.250000,6.000000,0.020620
0.250000,10.000000,0.021540
0.250000,14.000000,0.019820
0.250000,18.000000,0.019400
0.250000,22.000000,0.020480
0.250000,26.000000,0.021080
0.250000,30.000000,0.020800
0.250000,34.000000,0.020500
0.250000,38.000000,0.021080
0.250000,42.000000,0.020340
0.250000,46.000000,0.020420
0.250000,50.000000,0.019520
0.250000,54.000000,0.021100
0.250000,58.000000,0.020840
0.250000,62.000000,0.020800
0.250000,66.000000,0.020720
0.250000,70.000000,0.020160
0.250000,74.000000,0.020640
0.250000,78.000000,0.020580
0.250000,82.000000,0.019460
0.250000,86.000000,0.021500
0.250000,90.000000,0.021660
0.250000,94.000000,0.020840
0.250000,98.000000,0.020020
0.250000,102.000000,0.020260
0.250000,106.000000,0.020800
0.250000,110.000000,0.020540
0.250000,114.000000,0.021440
0.250000,118.000000,0.020560
0.250000,122.000000,0.020600
0.250000,126.000000,0.020680
0.250000,130.000000,0.020300
0.250000,134.000000,0.021120
0.250000,138.000000,0.020200
0.250000,142.000000,0.020480
0.250000,146.000000,0.020620
0.250000,150.000000,0.020860
0.250000,154.000000,0.020560
0.250000,158.000000,0.020120
0.250000,162.000000,0.022180
0.250000,166.000000,0.019980
0.250000,170.000000,0.020940
0.250000,174.000000,0.020520
0.250000,178.000000,0.020700
0.250000,182.000000,0.021180
0.250000,186.000000,0.020080
0.250000,190.000000,0.020420
0.250000,194.000000,0.021580
0.250000,198.000000,0.022480
0.250000,202.000000,0.021080
0.250000,206.000000,0.020700
0.250000,210.000000,0.020660
0.250000,214.000000,0.021560
0.250000,218.000000,0.020880
0.250000,222.000000,0.020040
0.250000,226.000000,0.020280
0.250000,230.000000,0.020440
0.250000,234.000000,0.019860
0.250000,238.000000,0.020120
0.250000,242.000000,0.020880
0.250000,246.000000,0.020340
0.250000,250.000000,0.020660
0.250000,254.000000,0.020300
0.250000,258.000000,0.019940
0.250000,262.000000,0.020560
0.250000,266.000000,0.020360
0.250000,270.000000,0.020500
0.250000,274.000000,0.020640
0.250000,278.000000,0.020080
0.250000,282.000000,0.020160
0.250000,286.000000,0.020700
0.250000,290.000000,0.021440
0.250000,294.000000,0.021960
0.250000,298.000000,0.020860
0.250000,302.000000,0.021280
0.250000,306.000000,0.020500
0.250000,310.000000,0.020180
0.250000,314.000000,0.019560
0.250000,318.000000,0.020040
0.250000,322.000000,0.022040
0.250000,326.000000,0.021640
0.250000,330.000000,0.020960
0.250000,334.000000,0.021020
0.250000,338.000000,0.020360
0.250000,342.000000,0.022080
0.250000,346.000000,0.021400
0.250000,350.000000,0.020180
0.250000,354.000000,0.020780
0.250000,358.000000,0.019960
0.750000,2.000000,0.020340
0.750000,6.000000,0.019960
0.750000,10.000000,0.020780
0.750000,14.000000,0.020020
0.750000,18.000000,0.020200
0.750000,22.000000,0.020680
0.750000,26.000000,0.020480
0.750000,30.000000,0.020860
0.750000,34.000000,0.020720
0.750000,38.000000,0.020980
0.750000,42.000000,0.020960
0.750000,46.000000,0.020160
0.750000,50.000000,0.019060
0.750000,54.000000,0.020840
0.750000,58.000000,0.020300
0.750000,62.000000,0.020820
0.750000,66.000000,0.020740
0.750000,70.000000,0.020340
0.750000,74.000000,0.020420
0.750000,78.000000,0.020760
0.750000,82.000000,0.020120
0.750000,86.000000,0.019840
0.750000,90.000000,0.020140
0.750000,94.000000,0.020520
0.750000,98.000000,0.019760
0.750000,102.000000,0.020580
0.750000,106.000000,0.019520
0.750000,110.000000,0.020860
0.750000,114.000000,0.020840
0.750000,118.000000,0.018500
0.750000,122.000000,0.020400
0.750000,126.000000,0.020240
0.750000,130.000000,0.020400
0.750000,134.000000,0.020240
0.750000,138.000000,0.020140
0.750000,142.000000,0.020340
0.750000,146.000000,0.019720
0.750000,150.000000,0.020520
0.750000,154.000000,0.020220
0.750000,158.000000,0.020020
0.750000,162.000000,0.020680
0.750000,166.000000,0.020920
0.750000,170.000000,0.020540
0.750000,174.000000,0.019580
0.750000,178.000000,0.020540
0.750000,182.000000,0.020540
0.750000,186.000000,0.020680
0.750000,190.000000,0.020540
0.750000,194.000000,0.020760
0.750000,198.000000,0.020920
0.750000,202.000000,0.020660
0.750000,206.000000,0.021780
0.750000,210.000000,0.019980
0.750000,214.000000,0.020420
0.750000,218.000000,0.021220
0.750000,222.000000,0.021140
0.750000,226.000000,0.020780
0.750000,230.000000,0.019000
0.750000,234.000000,0.019920
0.750000,238.000000,0.020820
0.750000,242.000000,0.020500
0.750000,246.000000,0.020860
0.750000,250.000000,0.020580
0.750000,254.000000,0.020180
0.750000,258.000000,0.020360
0.750000,262.000000,0.021880
0.750000,266.000000,0.019820
0.750000,270.000000,0.020560
0.750000,274.000000,0.021220
0.750000,278.000000,0.020920
0.750000,282.000000,0.020620
0.750000,286.000000,0.021080
0.750000,290.000000,0.021160
0.750000,294.000000,0.020980
0.750000,298.000000,0.020580
0.750000,302.000000,0.020160
0.750000,306.000000,0.021680
0.750000,310.000000,0.020040
0.750000,314.000000,0.021240
0.750000,318.000000,0.020840
0.750000,322.000000,0.019780
0.750000,326.000000,0.020440
0.750000,330.000000,0.020080
0.750000,334.000000,0.020840
0.750000,338.000000,0.020260
0.750000,342.000000,0.020680
0.750000,346.000000,0.019500
0.750000,350.000000,0.020100
0.750000,354.000000,0.020220
0.750000,358.000000,0.019740
1.250000,2.000000,0.021080
1.250000,6.000000,0.021720
1.250000,10.000000,0.021480
1.250000,14.000000,0.021480
1.250000,18.000000,0.020760
1.250000,22.000000,0.019900
1.250000,26.000000,0.019860
1.250000,30.000000,0.020020
1.250000,34.000000,0.019980
1.250000,38.000000,0.020300
1.250000,42.000000,0.019940
1.250000,46.000000,0.021120
1.250000,50.000000,0.021160
1.250000,54.000000,0.020960
1.250000,58.000000,0.021220
1.250000,62.000000,0.019900
1.250000,66.000000,0.021180
1.250000,70.000000,0.020120
1.250000,74.000000,0.021560
1.250000,78.000000,0.020700
1.250000,82.000000,0.021200
1.250000,86.000000,0.021020
1.250000,90.000000,0.021480
1.250000,94.000000,0.021200
1.250000,98.000000,0.020540
1.250000,102.000000,0.021180
1.250000,106.000000,0.020780
1.250000,110.000000,0.020580
1.250000,114.000000,0.020440
1.250000,118.000000,0.020500
1.250000,122.000000,0.020840
1.250000,126.000000,0.020900
1.250000,130.000000,0.020220
1.250000,134.000000,0.020380
1.250000,138.000000,0.020600
1.250000,142.000000,0.020960
1.250000,146.000000,0.020600
1.250000,150.000000,0.020400
1.250000,154.000000,0.019820
1.250000,158.000000,0.021260
1.250000,162.000000,0.021320
1.250000,166.000000,0.020580
1.250000,170.000000,0.020840
1.250000,174.000000,0.021440
1.250000,178.000000,0.020620
1.250000,182.000000,0.020880
1.250000,186.000000,0.020900
1.250000,190.000000,0.022080
1.250000,194.000000,0.022240
1.250000,198.000000,0.021060
1.250000,202.000000,0.020040
1.250000,206.000000,0.018860
1.250000,210.000000,0.021320
1.250000,214.000000,0.020100
1.250000,218.000000,0.020280
1.250000,222.000000,0.020200
1.250000,226.000000,0.019480
1.250000,230.000000,0.020260
1.250000,234.000000,0.021060
1.250000,238.000000,0.019820
1.250000,242.000000,0.020140
1.250000,246.000000,0.022320
1.250000,250.000000,0.020520
1.250000,254.000000,0.019900
1.250000,258.000000,0.020140
1.250000,262.000000,0.019560
1.250000,266.000000,0.019900
1.250000,270.000000,0.021140
1.250000,274.000000,0.020940
1.250000,278.000000,0.019080
1.250000,282.000000,0.018960
1.250000,286.000000,0.020780
1.250000,290.000000,0.022520
1.250000,294.000000,0.020740
1.250000,298.000000,0.021180
1.250000,302.000000,0.021160
1.250000,306.000000,0.019720
1.250000,310.000000,0.020200
1.250000,314.000000,0.021040
1.250000,318.000000,0.021300
1.250000,322.000000,0.021260
1.250000,326.000000,0.020640
1.250000,330.000000,0.020200
1.250000,334.000000,0.020860
1.250000,338.000000,0.020640
1.250000,342.000000,0.020020
1.250000,346.000000,0.019600
1.250000,350.000000,0.020640
1.250000,354.000000,0.020880
1.250000,358.000000,0.019360
1.750000,2.000000,0.020360
