# Flux Map Data - Generated: 2025-04-02 07:31:47
# Number of rays per position: 50000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 172 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
theta,phi,fraction
0.250000,2.000000,0.011760
0.250000,6.000000,0.011840
0.250000,10.000000,0.012200
0.250000,14.000000,0.011880
0.250000,18.000000,0.012460
0.250000,22.000000,0.012020
0.250000,26.000000,0.011180
0.250000,30.000000,0.011380
0.250000,34.000000,0.011580
0.250000,38.000000,0.012000
0.250000,42.000000,0.013260
0.250000,46.000000,0.012040
0.250000,50.000000,0.012600
0.250000,54.000000,0.011580
0.250000,58.000000,0.012840
0.250000,62.000000,0.011260
0.250000,66.000000,0.011800
0.250000,70.000000,0.012080
0.250000,74.000000,0.013120
0.250000,78.000000,0.011660
0.250000,82.000000,0.012180
0.250000,86.000000,0.011720
0.250000,90.000000,0.011820
0.250000,94.000000,0.011680
0.250000,98.000000,0.012680
0.250000,102.000000,0.012520
0.250000,106.000000,0.011760
0.250000,110.000000,0.012680
0.250000,114.000000,0.011800
0.250000,118.000000,0.011580
0.250000,122.000000,0.011540
0.250000,126.000000,0.012380
0.250000,130.000000,0.012960
0.250000,134.000000,0.013080
0.250000,138.000000,0.012140
0.250000,142.000000,0.011420
0.250000,146.000000,0.011540
0.250000,150.000000,0.012380
0.250000,154.000000,0.013280
0.250000,158.000000,0.012160
0.250000,162.000000,0.011240
0.250000,166.000000,0.011200
0.250000,170.000000,0.011840
0.250000,174.000000,0.012520
0.250000,178.000000,0.011840
0.250000,182.000000,0.011900
0.250000,186.000000,0.013280
0.250000,190.000000,0.012040
0.250000,194.000000,0.012880
0.250000,198.000000,0.012160
0.250000,202.000000,0.012120
0.250000,206.000000,0.012040
0.250000,210.000000,0.011880
0.250000,214.000000,0.011380
0.250000,218.000000,0.011140
0.250000,222.000000,0.011260
0.250000,226.000000,0.012300
0.250000,230.000000,0.012060
0.250000,234.000000,0.011860
0.250000,238.000000,0.012780
0.250000,242.000000,0.011780
0.250000,246.000000,0.011140
0.250000,250.000000,0.012400
0.250000,254.000000,0.011300
0.250000,258.000000,0.012040
0.250000,262.000000,0.011640
0.250000,266.000000,0.012100
0.250000,270.000000,0.012160
0.250000,274.000000,0.012540
0.250000,278.000000,0.012140
0.250000,282.000000,0.011980
0.250000,286.000000,0.011780
0.250000,290.000000,0.011080
0.250000,294.000000,0.011680
0.250000,298.000000,0.012020
