# Flux Map Data - Generated: 2025-04-02 11:38:01
# Number of rays per position: 50000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 175 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
theta,phi,fraction
3.750000,78.000000,0.006000
3.750000,82.000000,0.005800
3.750000,86.000000,0.006220
3.750000,90.000000,0.006000
3.750000,94.000000,0.006620
3.750000,98.000000,0.006420
3.750000,102.000000,0.006540
3.750000,106.000000,0.006220
3.750000,110.000000,0.006160
3.750000,114.000000,0.006380
3.750000,118.000000,0.006060
3.750000,122.000000,0.005480
3.750000,126.000000,0.006080
3.750000,130.000000,0.006160
3.750000,134.000000,0.005600
3.750000,138.000000,0.006400
3.750000,142.000000,0.006120
3.750000,146.000000,0.006220
3.750000,150.000000,0.005900
3.750000,154.000000,0.005800
3.750000,158.000000,0.006000
3.750000,162.000000,0.005980
3.750000,166.000000,0.006420
3.750000,170.000000,0.005180
3.750000,174.000000,0.005860
3.750000,178.000000,0.006020
3.750000,182.000000,0.005420
3.750000,186.000000,0.006360
3.750000,190.000000,0.005900
3.750000,194.000000,0.005800
3.750000,198.000000,0.006500
3.750000,202.000000,0.005780
3.750000,206.000000,0.005620
3.750000,210.000000,0.005840
3.750000,214.000000,0.005920
3.750000,218.000000,0.005920
3.750000,222.000000,0.005380
3.750000,226.000000,0.006060
3.750000,230.000000,0.005680
3.750000,234.000000,0.005700
3.750000,238.000000,0.005780
3.750000,242.000000,0.005820
3.750000,246.000000,0.005880
3.750000,250.000000,0.006220
3.750000,254.000000,0.006240
3.750000,258.000000,0.005940
3.750000,262.000000,0.005760
3.750000,266.000000,0.006880
3.750000,270.000000,0.005940
3.750000,274.000000,0.006120
3.750000,278.000000,0.006240
3.750000,282.000000,0.006240
3.750000,286.000000,0.005900
3.750000,290.000000,0.006320
3.750000,294.000000,0.005100
3.750000,298.000000,0.006140
3.750000,302.000000,0.006440
3.750000,306.000000,0.006080
3.750000,310.000000,0.005820
